split,seed,model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
20,62,RidgeCV,5.086236871594077,3.505142805205954,0.7310363247121594,0.9509803921568627,18.419679278582667,3.0520927593996645,2.6200829845179063,29.487713097880686
20,62,BayesianRidge,5.081946683552494,3.5040134570663457,0.7314898694915782,0.9509803921568627,18.667631533380046,3.038805969763614,2.6177724340491557,29.316996024407757
20,62,ARDRegression,5.110514665298889,3.553892313003893,0.7284625441262745,0.9509803921568627,18.573445897107177,3.0461865729827307,2.643673275988026,29.245599820897773
20,62,Bayesian Gibbs,5.051827707523283,3.503560714472706,0.7346631751127088,0.9509803921568627,18.766112404816422,3.025620379754545,2.6093363232608113,28.912495366152807
21,63,Ordinary least squares,5.180727441466518,3.612855883293754,0.6768714811871237,0.9509803921568627,18.326613960564323,3.0751839920915702,2.6997781396872327,31.076746638883787
21,63,RidgeCV,5.1703912893363375,3.6114946548946056,0.6781595527239086,0.9509803921568627,18.345043973547362,3.0725136306567897,2.688200739804262,31.058146932634653
21,63,BayesianRidge,5.170689791839177,3.61132923624607,0.6781223899844318,0.9509803921568627,18.65288691395479,3.062381023508543,2.6860329101034974,30.74373873333296
21,63,ARDRegression,5.1201912988618465,3.5615408267671125,0.6843787938883876,0.9509803921568627,18.58429793963185,3.050738038807653,2.653994763088109,30.39193428958986
21,63,Bayesian Gibbs,5.177066740405532,3.615620973125286,0.6773279649588366,0.9509803921568627,18.70874445276501,3.0592810090865674,2.6978540192626363,30.58160754788172
22,64,Ordinary least squares,4.925284054854199,3.3389835355538175,0.7158694522674288,0.9411764705882353,18.455480415487074,3.0154164729314976,2.5316866790267327,28.81064215848708
22,64,RidgeCV,4.93001570642453,3.31560518545499,0.7153232695442524,0.9411764705882353,18.46821262212052,3.01640231473171,2.522484838085151,28.91721423099063
22,64,BayesianRidge,4.932371116738134,3.3121044214618998,0.7150511849399213,0.9411764705882353,18.69444468420956,3.0089766684729238,2.522937833943569,28.75372819929875
22,64,ARDRegression,4.928280697851941,3.3170164058955915,0.7155236054805778,0.9411764705882353,18.615029804591835,3.009014139647836,2.52401915879474,28.855123172783685
22,64,Bayesian Gibbs,4.926580407487013,3.3243082064209224,0.7157198642019061,0.9411764705882353,18.769938858318234,3.002921408659664,2.5302872841307518,28.924687111768684
23,65,Ordinary least squares,5.718463387901994,3.638778006842773,0.6432272356680173,0.9607843137254902,17.74237510539544,3.226928537078117,2.7492457533246686,36.96522697548263
23,65,RidgeCV,5.734824309593951,3.6047658489208194,0.6411828118142981,0.9607843137254902,17.761116149312567,3.2308646416417517,2.7343257991388144,37.40151459631028
23,65,BayesianRidge,5.734490696582687,3.60527416925199,0.6412245576793288,0.9607843137254902,18.083883446945425,3.2048351828510198,2.7340147423624135,37.302853858749735
23,65,ARDRegression,5.756888593773607,3.603957649814788,0.6384164587117818,0.9607843137254902,17.98472070048957,3.2130592396365585,2.7480214418589064,37.17591415462132
23,65,Bayesian Gibbs,5.725904498115115,3.6244881039528516,0.6422981354742495,0.9607843137254902,18.23079919706241,3.186700323155284,2.7341624379566536,37.39125520960439
24,66,Ordinary least squares,3.9905505803407157,2.9879682946087227,0.809476737207226,0.9803921568627451,19.414603385853013,2.843480517269401,2.211535602859122,23.089797212197976
24,66,RidgeCV,3.9742129100442853,2.9442021406935113,0.8110335822290563,0.9803921568627451,19.427376164777364,2.841062653788791,2.198199402254685,23.066354808098765
24,66,BayesianRidge,3.9709030418530085,2.932245673604673,0.8113482072877666,0.9803921568627451,19.691398485014847,2.842465928676673,2.198055990003186,23.13437081268975
24,66,ARDRegression,3.9832730299015164,2.943950334600192,0.8101710165107453,0.9803921568627451,19.596329877113313,2.842942461048835,2.2007673208455634,23.07858020368745
24,66,Bayesian Gibbs,3.976334695107183,2.95533055338719,0.8108317545153029,0.9803921568627451,19.859839310078076,2.8443962998987002,2.2115866962084736,23.28646683959309
25,67,Ordinary least squares,4.228061048972342,3.1711855486270832,0.6575788386713353,0.9705882352941176,19.2689416778913,2.8812671576714113,2.3581169320003355,23.460857197099724
25,67,RidgeCV,4.199248323536505,3.12882998168928,0.662229892599961,0.9705882352941176,19.286202507493527,2.876485311194648,2.3384340119279483,23.56825921982786
25,67,BayesianRidge,4.198894718677975,3.1283178233053266,0.6622867752194855,0.9705882352941176,19.5320297252636,2.8744711072087075,2.3381756378600755,23.389250286665327
25,67,ARDRegression,4.208032634007155,3.1660906664380883,0.6608152675801174,0.9705882352941176,19.43981123870642,2.8759983248742373,2.344004594639059,23.436308419937006
25,67,Bayesian Gibbs,4.214700285643426,3.1527436457492097,0.6597395357287856,0.9705882352941176,19.63249649081578,2.8782162193458816,2.3539601174859888,23.2445519862899
26,68,Ordinary least squares,5.811619997596108,3.93079465504403,0.5971083927145666,0.9215686274509803,17.680382614825263,3.2554340735267,2.9575994417682674,41.33169224523283
26,68,RidgeCV,5.820678295734623,3.890796187515648,0.5958514776171587,0.9215686274509803,17.704461192280032,3.257121301556346,2.9491819970810753,41.60157650980127
26,68,BayesianRidge,5.818751500413782,3.898821518405459,0.5961190005948791,0.9215686274509803,17.974956263927623,3.2260559102123616,2.946338398355843,40.85731193097038
26,68,ARDRegression,5.8342477767183345,3.928270865226676,0.5939649352558971,0.9215686274509803,17.892334063065533,3.2311927057745256,2.959956163927776,40.91957031502853
26,68,Bayesian Gibbs,5.810635359348487,3.914531498993073,0.5972449015986743,0.9215686274509803,17.993471547890213,3.2125013095445247,2.948227857486099,40.7543578901876
27,69,Ordinary least squares,4.841952853443861,3.1991035456347086,0.6745147834478668,0.9411764705882353,18.594612870193835,2.996683523611355,2.4907653730573003,29.8897416291793
27,69,RidgeCV,4.820466151079151,3.1609794493793184,0.6773971273025297,0.9411764705882353,18.60379943058794,2.9920543851578576,2.4710684479684906,29.925338129412243
27,69,BayesianRidge,4.812726183312571,3.146400686900845,0.6784322683693594,0.9411764705882353,18.895705120114926,2.9905015723410235,2.4673834337449536,29.825274542063507
27,69,ARDRegression,4.777701737917928,3.1257672344071326,0.6830956333578836,0.9411764705882353,18.81142813926792,2.982752856766237,2.4501235148386606,29.456256248784463
27,69,Bayesian Gibbs,4.826837866050106,3.1727895065420557,0.6765437276535483,0.9411764705882353,18.934594689589566,2.989739978199907,2.475870434278335,29.420077978053694
28,70,Ordinary least squares,4.8167996738368775,3.45841706637066,0.7333148617071455,0.9117647058823529,18.629271421758123,2.9912307793683306,2.608575156995256,28.08873799596355
28,70,RidgeCV,4.811151324438122,3.436802002730097,0.7339399438173031,0.9117647058823529,18.64110311450382,2.990011513069696,2.60214997949686,28.24267097363045
28,70,BayesianRidge,4.810473236795861,3.4322865908611453,0.7340149359804345,0.9117647058823529,18.873999236232105,2.982572306235012,2.5993597279636265,27.73106535259381
28,70,ARDRegression,4.776079125517616,3.418444182590057,0.7378048397725723,0.9117647058823529,18.79536543564932,2.975856011624893,2.5833363844630846,27.507536324543704
28,70,Bayesian Gibbs,4.813213958537667,3.444702673337146,0.7337117646790074,0.9117647058823529,18.93146929142168,2.982167057504809,2.6068594676703625,27.561538982069877
29,71,Ordinary least squares,4.655544504559361,3.618457749138459,0.6875784839379009,0.9509803921568627,18.801172232530792,2.9578673182835433,2.6049653861799626,23.932762067406546
29,71,RidgeCV,4.629459836713802,3.5880722678820454,0.6910696249611159,0.9509803921568627,18.810519395403762,2.952637431607234,2.587360661199174,23.928472186209984
29,71,BayesianRidge,4.619551138496321,3.576590673972432,0.6923906524860257,0.9509803921568627,19.065729564559927,2.9493005729699915,2.5802274391380977,23.827362863356726
29,71,ARDRegression,4.629336668226548,3.5837662464721403,0.691086063155691,0.9509803921568627,18.965878239039622,2.9509161998220534,2.586602590346499,23.77286104619115
29,71,Bayesian Gibbs,4.640572245080155,3.6003240662254803,0.6895847516540381,0.9509803921568627,19.178713585519166,2.9535622979911604,2.596343222899405,23.896214153748087
